Data,Vittorie,Pareggi,Sconfitte,Score
2024_06_30_22_48_33,0,0,1,-1
2024_06_30_22_38_50,0,1,0,1
2024_06_30_22_30_18,0,1,0,1
2024_06_30_22_15_09,0,0,1,-1
2024_06_30_22_08_56,1,0,0,4
